,press,title,date,url
0,네이버금융,"""기업들 실적이 왜 이래?""…닛케이 0.88%↓",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0004781034&office_id=008&mode=mainnews&type=&date=2022-08-09&page=1
1,네이버금융," 코스피, 기관·외국인 쌍끌이 매수...2500선 강보합 마감",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0000833117&office_id=366&mode=mainnews&type=&date=2022-08-09&page=1
2,네이버금융,"달러화 약보합 움직임…환율, 2원 가량 하락에 그쳐",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0005287833&office_id=018&mode=mainnews&type=&date=2022-08-09&page=1
3,네이버금융," 코스피, 두 달 만에 2500선 회복…외인 9거래일 연속 순매수",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0006268350&office_id=421&mode=mainnews&type=&date=2022-08-09&page=1
4,네이버금융,이틀째 사는 개미들…830선 안착,2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0005287794&office_id=018&mode=mainnews&type=&date=2022-08-09&page=1
5,네이버금융, 소프트뱅크 사상 최대 적자…내려앉은 日 투심,2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0004780816&office_id=008&mode=mainnews&type=&date=2022-08-09&page=1
6,네이버금융," 코스피, 기관 매도세에 약세 전환…반도체株 '흔들'",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0004085412&office_id=011&mode=mainnews&type=&date=2022-08-09&page=1
7,네이버금융,美 7월 물가지표 대기 장세…1300원 하향 이탈 시도,2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0005287210&office_id=018&mode=mainnews&type=&date=2022-08-09&page=1
8,네이버금융,"""나스닥 하락·美 CPI 경계심리…보합 출발 후 제한적 흐름 예상""",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0005129755&office_id=277&mode=mainnews&type=&date=2022-08-09&page=1
9,네이버금융, 채권형 펀드에서 364억원 순유출,2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0005129733&office_id=277&mode=mainnews&type=&date=2022-08-09&page=1
10,네이버금융,"엔비디아, 예상 실적 큰폭 하향 '깜짝'…나스닥 0.1%↓ ",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0004780627&office_id=008&mode=mainnews&type=&date=2022-08-09&page=1
11,네이버금융,"80년만의 폭우 '출근대란'…""수도권 공공기관 출근시간 오전 11시로"" ",2022-08-09,https://finance.naver.com//news/news_read.naver?article_id=0004734438&office_id=015&mode=mainnews&type=&date=2022-08-09&page=1
